time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.95271e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.747954	0.635757	7.22654	2.18482e-17	-6.51775e-17	radar	74.4231	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.11767	0.525196	7.26129	-0.405892	-0.0378777	lidar	0.815229	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26573	0.55266	7.14696	-0.202774	-0.0201584	radar	2.18018	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63048	0.527325	7.10825	-0.129204	0.036096	lidar	0.661274	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8627	0.547815	6.02509	-0.101936	-0.38076	radar	6.28033	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17093	0.546933	5.98655	-0.0826468	-0.270839	lidar	0.634271	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38371	0.617082	5.52435	0.00352449	-0.0974471	radar	5.91494	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65685	0.629602	5.50973	0.0159907	-0.0306342	lidar	0.0799308	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91914	0.63937	5.44044	0.0182611	-0.0319261	radar	0.167543	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15221	0.644612	5.3914	0.0271171	0.00617837	lidar	1.09971	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43711	0.549732	5.42595	-0.10123	-0.396656	radar	1.57617	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74245	0.447082	5.50639	-0.20922	-0.647522	lidar	2.52015	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01938	0.5282	5.49624	-0.0866581	-0.236349	radar	3.30222	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
